Hótel Canopy;Reykjavík;Smiðjuvegur
1-bedroom;100;7500
1-bedroom;101;7500
1-bedroom;102;7500
1-bedroom;103;7500
1-bedroom;104;7500
1-bedroom;105;7500
1-bedroom;106;7500
1-bedroom;107;7500
1-bedroom;108;7500
1-bedroom;109;7500
1-bedroom;1010;7500
1-bedroom;1011;7500
1-bedroom;1012;7500
1-bedroom;1013;7500
1-bedroom;1014;7500
1-bedroom;1015;7500
1-bedroom;1016;7500
1-bedroom;1017;7500
1-bedroom;1018;7500
1-bedroom;1019;7500
2-bedroom;200;15000
2-bedroom;201;15000
2-bedroom;202;15000
2-bedroom;203;15000
2-bedroom;204;15000
2-bedroom;205;15000
2-bedroom;206;15000
2-bedroom;207;15000
2-bedroom;208;15000
2-bedroom;209;15000
2-bedroom;2010;15000
2-bedroom;2011;15000
2-bedroom;2012;15000
2-bedroom;2013;15000
2-bedroom;2014;15000
2-bedroom;2015;15000
2-bedroom;2016;15000
2-bedroom;2017;15000
2-bedroom;2018;15000
2-bedroom;2019;15000
3-bedroom;300;20000
3-bedroom;301;20000
3-bedroom;302;20000
3-bedroom;303;20000
3-bedroom;304;20000
3-bedroom;305;20000
3-bedroom;306;20000
3-bedroom;307;20000
3-bedroom;308;20000
3-bedroom;309;20000
suite;400;40000
suite;401;40000
suite;402;40000
