Hótel KEA;Akureyri;Skipagata
1-bedroom;100;5000
1-bedroom;101;5000
1-bedroom;102;5000
1-bedroom;103;5000
1-bedroom;104;5000
1-bedroom;105;5000
1-bedroom;106;5000
1-bedroom;107;5000
1-bedroom;108;5000
1-bedroom;109;5000
2-bedroom;200;12500
2-bedroom;201;12500
2-bedroom;202;12500
2-bedroom;203;12500
2-bedroom;204;12500
2-bedroom;205;12500
2-bedroom;206;12500
2-bedroom;207;12500
2-bedroom;208;12500
2-bedroom;209;12500
3-bedroom;300;17500
3-bedroom;301;17500
3-bedroom;302;17500
3-bedroom;303;17500
3-bedroom;304;17500
3-bedroom;305;17500
3-bedroom;306;17500
3-bedroom;307;17500
3-bedroom;308;17500
3-bedroom;309;17500
suite;400;50000
suite;401;50000
