Hótel Keflavík;Keflavík;tún
1-bedroom;100;5000
1-bedroom;101;5000
1-bedroom;102;5000
1-bedroom;103;5000
1-bedroom;104;5000
1-bedroom;105;5000
1-bedroom;106;5000
1-bedroom;107;5000
1-bedroom;108;5000
1-bedroom;109;5000
1-bedroom;1010;5000
1-bedroom;1011;5000
1-bedroom;1012;5000
1-bedroom;1013;5000
1-bedroom;1014;5000
2-bedroom;200;12500
2-bedroom;201;12500
2-bedroom;202;12500
2-bedroom;203;12500
2-bedroom;204;12500
2-bedroom;205;12500
2-bedroom;206;12500
2-bedroom;207;12500
2-bedroom;208;12500
2-bedroom;209;12500
2-bedroom;2010;12500
2-bedroom;2011;12500
2-bedroom;2012;12500
2-bedroom;2013;12500
2-bedroom;2014;12500
3-bedroom;300;20000
3-bedroom;301;20000
3-bedroom;302;20000
3-bedroom;303;20000
3-bedroom;304;20000
3-bedroom;305;20000
3-bedroom;306;20000
3-bedroom;307;20000
3-bedroom;308;20000
3-bedroom;309;20000
suite;400;40000
suite;401;40000
