Hotel Vatnajökull;Öræfum;Freysnes
1-bedroom;100;5000
1-bedroom;101;5000
1-bedroom;102;5000
1-bedroom;103;5000
1-bedroom;104;5000
1-bedroom;105;5000
1-bedroom;106;5000
1-bedroom;107;5000
1-bedroom;108;5000
1-bedroom;109;5000
2-bedroom;200;10000
2-bedroom;201;10000
2-bedroom;202;10000
2-bedroom;203;10000
2-bedroom;204;10000
2-bedroom;205;10000
2-bedroom;206;10000
2-bedroom;207;10000
2-bedroom;208;10000
2-bedroom;209;10000
3-bedroom;300;15000
3-bedroom;301;15000
3-bedroom;302;15000
3-bedroom;303;15000
3-bedroom;304;15000
3-bedroom;305;15000
3-bedroom;306;15000
3-bedroom;307;15000
3-bedroom;308;15000
3-bedroom;309;15000
suite;400;50000
suite;401;50000
suite;402;50000
suite;403;50000
suite;404;50000
